Movie,URL
Bye Bye Man,http://www.boxofficemojo.com/movies/?page=weekly&id=thebyebyeman.htm
Split,http://www.boxofficemojo.com/movies/?page=weekly&id=split2017.htm
Rings,http://www.boxofficemojo.com/movies/?page=weekly&id=rings.htm
A Cure For Wellness,http://www.boxofficemojo.com/movies/?page=weekly&id=acureforwellness.htm
Get Out,http://www.boxofficemojo.com/movies/?page=weekly&id=blumhouse2.htm
Raw,http://www.boxofficemojo.com/movies/?page=weekly&id=raw2017.htm
The Belko Experiment,http://www.boxofficemojo.com/movies/?page=weekly&id=blumhousetilt2017.htm
Phoenix Forgotten,http://www.boxofficemojo.com/movies/?page=weekly&id=phoenix2017.htm
It Comes At Night,http://www.boxofficemojo.com/movies/?page=weekly&id=itcomesatnight.htm
47 Meters Down,http://www.boxofficemojo.com/movies/?page=weekly&id=47metersdown.htm
Wish Upon,http://www.boxofficemojo.com/movies/?page=weekly&id=wishupon.htm
It,http://www.boxofficemojo.com/movies/?page=weekly&id=it.htm
Mother,http://www.boxofficemojo.com/movies/?page=weekly&id=mother2017.htm
Friend Request,http://www.boxofficemojo.com/movies/?page=weekly&id=friendrequest.htm
Flatliners,http://www.boxofficemojo.com/movies/?page=weekly&id=flatliners2017.htm
Happy Death Day,http://www.boxofficemojo.com/movies/?page=weekly&id=blumhousehorror2018.htm
Killing Of A Sacred Deer,http://www.boxofficemojo.com/movies/?page=weekly&id=killingofasacreddeer.htm
Saw 6,http://www.boxofficemojo.com/movies/?page=weekly&id=saw6.htm
Saw 3D,http://www.boxofficemojo.com/movies/?page=weekly&id=saw7.htm
Jigsaw,http://www.boxofficemojo.com/movies/?page=weekly&id=saw2017.htm
The Forest,http://www.boxofficemojo.com/movies/?page=weekly&id=forest.htm
The Boy,http://www.boxofficemojo.com/movies/?page=weekly&id=boy2016.htm
The Witch,http://www.boxofficemojo.com/movies/?page=weekly&id=thewitch.htm
The Other Side of the Door,http://www.boxofficemojo.com/movies/?page=weekly&id=othersideofthedoor.htm
The Invitation,http://www.boxofficemojo.com/movies/?page=weekly&id=theinvitation.htm
Green Room,http://www.boxofficemojo.com/movies/?page=weekly&id=greenroom.htm
The Conjuring,http://www.boxofficemojo.com/movies/?page=weekly&id=conjuring.htm
The Conjuring 2,http://www.boxofficemojo.com/movies/?page=weekly&id=conjuring2.htm
The Purge,http://www.boxofficemojo.com/movies/?page=weekly&id=purge.htm
The Purge 2,http://www.boxofficemojo.com/movies/?page=weekly&id=purge2.htm
The Purge 3,http://www.boxofficemojo.com/movies/?page=weekly&id=purge3.htm
